Resource provider namespace,Azure service
Microsoft.AAD,Azure Active Directory Domain Services
Microsoft.Addons,core
Microsoft.ADHybridHealthService,Azure Active Directory
Microsoft.Advisor,Azure Advisor
Microsoft.AlertsManagement,Azure Monitor
Microsoft.AnalysisServices,Azure Analysis Services
Microsoft.ApiManagement,API Management
Microsoft.AppConfiguration,Azure App Configuration
Microsoft.AppPlatform,Azure Spring Cloud
Microsoft.Attestation,Azure Attestation Service
Microsoft.Authorization,Azure Resource Manager
Microsoft.Automation,Automation
Microsoft.AutonomousSystems,Autonomous Systems
Microsoft.AVS,Azure VMware Solution
Microsoft.AzureActiveDirectory,Azure Active Directory B2C
Microsoft.AzureData,SQL Server registry
Microsoft.AzureStack,core
Microsoft.AzureStackHCI,Azure Stack HCI
Microsoft.Batch,Batch
Microsoft.Billing,Cost Management and Billing
Microsoft.BingMaps,Bing Maps
Microsoft.Blockchain,Azure Blockchain Service
Microsoft.BlockchainTokens,Azure Blockchain Tokens
Microsoft.Blueprint,Azure Blueprints
Microsoft.BotService,Azure Bot Service
Microsoft.Cache,Azure Cache for Redis
Microsoft.Capacity,core
Microsoft.Cdn,Content Delivery Network
Microsoft.CertificateRegistration,App Service Certificates
Microsoft.ChangeAnalysis,Azure Monitor
Microsoft.ClassicCompute,Classic deployment model virtual machine
Microsoft.ClassicInfrastructureMigrate,Classic deployment model migration
Microsoft.ClassicNetwork,Classic deployment model virtual network
Microsoft.ClassicStorage,Classic deployment model storage
Microsoft.ClassicSubscription,Classic deployment model
Microsoft.CognitiveServices,Cognitive Services
Microsoft.Commerce,core
Microsoft.Compute,Virtual Machines
,Virtual Machine Scale Sets
Microsoft.Consumption,Cost Management
Microsoft.ContainerInstance,Container Instances
Microsoft.ContainerRegistry,Container Registry
Microsoft.ContainerService,Azure Kubernetes Service (AKS)
Microsoft.CostManagement,Cost Management
Microsoft.CostManagementExports,Cost Management
Microsoft.CustomerLockbox,Customer Lockbox for Microsoft Azure
Microsoft.CustomProviders,Azure Custom Providers
Microsoft.DataBox,Azure Data Box
Microsoft.DataBoxEdge,Azure Stack Edge
Microsoft.Databricks,Azure Databricks
Microsoft.DataCatalog,Data Catalog
Microsoft.DataFactory,Data Factory
Microsoft.DataLakeAnalytics,Data Lake Analytics
Microsoft.DataLakeStore,Azure Data Lake Storage Gen2
Microsoft.DataMigration,Azure Database Migration Service
Microsoft.DataProtection,Data Protection
Microsoft.DataShare,Azure Data Share
Microsoft.DBforMariaDB,Azure Database for MariaDB
Microsoft.DBforMySQL,Azure Database for MySQL
Microsoft.DBforPostgreSQL,Azure Database for PostgreSQL
Microsoft.DeploymentManager,Azure Deployment Manager
Microsoft.DesktopVirtualization,Windows Virtual Desktop
Microsoft.Devices,Azure IoT Hub
,Azure IoT Hub Device Provisioning Service
Microsoft.DevOps,Azure DevOps
Microsoft.DevSpaces,Azure Dev Spaces
Microsoft.DevTestLab,Azure Lab Services
Microsoft.DigitalTwins,Azure Digital Twins
Microsoft.DocumentDB,Azure Cosmos DB
Microsoft.DomainRegistration,App Service
Microsoft.DynamicsLcs,Lifecycle Services
Microsoft.EnterpriseKnowledgeGraph,Enterprise Knowledge Graph
Microsoft.EventGrid,Event Grid
Microsoft.EventHub,Event Hubs
Microsoft.Features,Azure Resource Manager
Microsoft.GuestConfiguration,Azure Policy
Microsoft.HanaOnAzure,SAP HANA on Azure Large Instances
Microsoft.HardwareSecurityModules,Azure Dedicated HSM
Microsoft.HDInsight,HDInsight
Microsoft.HealthcareApis,Azure API for FHIR
Microsoft.HybridCompute,Azure Arc
Microsoft.HybridData,StorSimple
Microsoft.HybridNetwork,Stack Edge support
Microsoft.ImportExport,Azure Import/Export
microsoft.insights,Azure Monitor
Microsoft.IoTCentral,Azure IoT Central
Microsoft.IoTSpaces,Azure Digital Twins
Microsoft.Intune,Azure Monitor
Microsoft.KeyVault,Key Vault
Microsoft.Kubernetes,Azure Kubernetes Service (AKS)
Microsoft.KubernetesConfiguration,Azure Kubernetes Service (AKS)
Microsoft.Kusto,Azure Data Explorer
Microsoft.LabServices,Azure Lab Services
Microsoft.Logic,Logic Apps
Microsoft.MachineLearning,Machine Learning Studio
Microsoft.MachineLearningServices,Azure Machine Learning
Microsoft.Maintenance,Azure Maintenance
