"Provider Name","Service Name","Preview"
"Microsoft.PolicyInsights/*","Azure Policy"
"Microsoft.PolicyInsights/policyEvents","Azure Policy","False"
"Microsoft.PolicyInsights/policyStates","Azure Policy","False"
"Microsoft.PolicyInsights/operations","Azure Policy","False"
"Microsoft.PolicyInsights/asyncOperationResults","Azure Policy","False"
"Microsoft.PolicyInsights/remediations","Azure Policy","False"
"Microsoft.PolicyInsights/eventGridFilters","Azure Policy","False"
"Microsoft.PolicyInsights/checkPolicyRestrictions","Azure Policy","False"
"Microsoft.PolicyInsights/policyTrackedResources","Azure Policy","True"
"Microsoft.PolicyInsights/policyMetadata","Azure Policy","False"
"Microsoft.AlertsManagement/*","Azure Monitor"
"Microsoft.AlertsManagement/resourceHealthAlertRules","Azure Monitor","True"
"Microsoft.AlertsManagement/alerts","Azure Monitor","False"
"Microsoft.AlertsManagement/alertsSummary","Azure Monitor","False"
"Microsoft.AlertsManagement/smartGroups","Azure Monitor","False"
"Microsoft.AlertsManagement/smartDetectorAlertRules","Azure Monitor","False"
"Microsoft.AlertsManagement/migrateFromSmartDetection","Azure Monitor","True"
"Microsoft.AlertsManagement/actionRules","Azure Monitor","True"
"Microsoft.AlertsManagement/alertsList","Azure Monitor","True"
"Microsoft.AlertsManagement/alertsSummaryList","Azure Monitor","True"
"Microsoft.AlertsManagement/alertsMetaData","Azure Monitor","False"
"Microsoft.AlertsManagement/operations","Azure Monitor","False"
"Microsoft.DomainRegistration/*","App Service"
"Microsoft.DomainRegistration/domains","App Service","False"
"Microsoft.DomainRegistration/domains/domainOwnershipIdentifiers","App Service","False"
"Microsoft.DomainRegistration/topLevelDomains","App Service","False"
"Microsoft.DomainRegistration/checkDomainAvailability","App Service","False"
"Microsoft.DomainRegistration/listDomainRecommendations","App Service","False"
"Microsoft.DomainRegistration/validateDomainRegistrationInformation","App Service","False"
"Microsoft.DomainRegistration/generateSsoRequest","App Service","False"
"Microsoft.DomainRegistration/operations","App Service","False"
"Microsoft.ChangeAnalysis/*","Azure Monitor"
"Microsoft.ChangeAnalysis/operations","Azure Monitor","True"
"Microsoft.ChangeAnalysis/resourceChanges","Azure Monitor","False"
"Microsoft.ChangeAnalysis/changes","Azure Monitor","False"
"Microsoft.GuestConfiguration/*","Azure Policy"
"Microsoft.GuestConfiguration/guestConfigurationAssignments","Azure Policy","False"
"Microsoft.GuestConfiguration/software","Azure Policy","True"
"Microsoft.GuestConfiguration/softwareUpdates","Azure Policy","True"
"Microsoft.GuestConfiguration/softwareUpdateProfile","Azure Policy","True"
"Microsoft.GuestConfiguration/operations","Azure Policy","False"
"Microsoft.DBforMySQL/*","Azure Database for MySQL"
"Microsoft.DBforMySQL/operations","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/flexibleServers","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/recoverableServers","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/virtualNetworkRules","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/capabilities","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/checkNameAvailability","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/checkNameAvailability","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/getPrivateDnsZoneSuffix","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/checkVirtualNetworkSubnetUsage","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/operationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/azureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/administratorOperationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/administratorAzureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/privateEndpointConnectionProxyOperationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/privateEndpointConnectionProxyAzureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/privateEndpointConnectionOperationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/privateEndpointConnectionAzureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/performanceTiers","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/securityAlertPoliciesAzureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/securityAlertPoliciesOperationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/recommendedActionSessionsAzureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/recommendedActionSessionsOperationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/topQueryStatistics","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/queryTexts","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/waitStatistics","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/resetQueryPerformanceInsightData","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/advisors","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/privateLinkResources","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/privateEndpointConnections","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/privateEndpointConnectionProxies","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/keys","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/serverKeyAzureAsyncOperation","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/locations/serverKeyOperationResults","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/start","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/stop","Azure Database for MySQL","False"
"Microsoft.DBforMySQL/servers/upgrade","Azure Database for MySQL","False"
"Microsoft.AAD/*","Azure Active Directory Domain Services"
"Microsoft.AAD/DomainServices","Azure Active Directory Domain Services","False"
"Microsoft.AAD/DomainServices/oucontainer","Azure Active Directory Domain Services","False"
"Microsoft.AAD/locations","Azure Active Directory Domain Services","False"
"Microsoft.AAD/locations/operationresults","Azure Active Directory Domain Services","False"
"Microsoft.AAD/operations","Azure Active Directory Domain Services","False"
"Microsoft.Blueprint/*","Azure Blueprints"
"Microsoft.Blueprint/blueprints","Azure Blueprints","True"
"Microsoft.Blueprint/blueprints/artifacts","Azure Blueprints","True"
"Microsoft.Blueprint/blueprints/versions","Azure Blueprints","True"
"Microsoft.Blueprint/blueprints/versions/artifacts","Azure Blueprints","True"
"Microsoft.Blueprint/blueprintAssignments","Azure Blueprints","True"
"Microsoft.Blueprint/blueprintAssignments/operations","Azure Blueprints","True"
"Microsoft.Blueprint/blueprintAssignments/assignmentOperations","Azure Blueprints","True"
"Microsoft.Blueprint/operations","Azure Blueprints","True"
"Microsoft.Management/*","Management Groups"
"Microsoft.Management/resources","Management Groups","True"
"Microsoft.Management/managementGroups","Management Groups","False"
"Microsoft.Management/getEntities","Management Groups","False"
"Microsoft.Management/managementGroups/settings","Management Groups","False"
"Microsoft.Management/checkNameAvailability","Management Groups","False"
"Microsoft.Management/operationResults","Management Groups","False"
"Microsoft.Management/operationResults/asyncOperation","Management Groups","False"
"Microsoft.Management/operations","Management Groups","False"
"Microsoft.Management/tenantBackfillStatus","Management Groups","False"
"Microsoft.Management/startTenantBackfill","Management Groups","False"
"Microsoft.VirtualMachineImages/*","Azure Image Builder"
"Microsoft.VirtualMachineImages/imageTemplates","Azure Image Builder","False"
"Microsoft.VirtualMachineImages/imageTemplates/runOutputs","Azure Image Builder","False"
"Microsoft.VirtualMachineImages/locations","Azure Image Builder","False"
"Microsoft.VirtualMachineImages/locations/operations","Azure Image Builder","False"
"Microsoft.VirtualMachineImages/operations","Azure Image Builder","False"
"Microsoft.ManagedIdentity/*","Managed identities for Azure resources"
"Microsoft.ManagedIdentity/Identities","Managed identities for Azure resources","False"
"Microsoft.ManagedIdentity/userAssignedIdentities","Managed identities for Azure resources","False"
"Microsoft.ManagedIdentity/operations","Managed identities for Azure resources","False"
"Microsoft.Sql/*","Azure SQL Database"
"Microsoft.Sql/operations","Azure SQL Database","False"
"Microsoft.Sql/locations","Azure SQL Database","False"
"Microsoft.Sql/locations/capabilities","Azure SQL Database","False"
"Microsoft.Sql/locations/databaseAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/databaseOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/serverKeyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/serverKeyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/servers/keys","Azure SQL Database","True"
"Microsoft.Sql/servers/encryptionProtector","Azure SQL Database","True"
"Microsoft.Sql/locations/encryptionProtectorOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/encryptionProtectorAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceKeyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceKeyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceEncryptionProtectorOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceEncryptionProtectorAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/transparentDataEncryptionAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/transparentDataEncryptionOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedtransparentDataEncryptionAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedtransparentDataEncryptionOperationResults","Azure SQL Database","True"
"Microsoft.Sql/servers/tdeCertificates","Azure SQL Database","True"
"Microsoft.Sql/locations/tdeCertAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/tdeCertOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/serverAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/serverOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/usages","Azure SQL Database","False"
"Microsoft.Sql/checkNameAvailability","Azure SQL Database","False"
"Microsoft.Sql/servers","Azure SQL Database","False"
"Microsoft.Sql/servers/databases","Azure SQL Database","False"
"Microsoft.Sql/servers/serviceObjectives","Azure SQL Database","False"
"Microsoft.Sql/servers/communicationLinks","Azure SQL Database","False"
"Microsoft.Sql/servers/administrators","Azure SQL Database","False"
"Microsoft.Sql/servers/administratorOperationResults","Azure SQL Database","False"
"Microsoft.Sql/locations/serverAdministratorAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/serverAdministratorOperationResults","Azure SQL Database","True"
"Microsoft.Sql/servers/restorableDroppedDatabases","Azure SQL Database","False"
"Microsoft.Sql/servers/recoverableDatabases","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/geoBackupPolicies","Azure SQL Database","False"
"Microsoft.Sql/servers/import","Azure SQL Database","False"
"Microsoft.Sql/servers/importExportOperationResults","Azure SQL Database","False"
"Microsoft.Sql/servers/operationResults","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/backupLongTermRetentionPolicies","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/backupShortTermRetentionPolicies","Azure SQL Database","True"
"Microsoft.Sql/servers/databaseSecurityPolicies","Azure SQL Database","False"
"Microsoft.Sql/servers/automaticTuning","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/automaticTuning","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/transparentDataEncryption","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/ledgerDigestUploads","Azure SQL Database","True"
"Microsoft.Sql/locations/ledgerDigestUploadsAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/ledgerDigestUploadsOperationResults","Azure SQL Database","True"
"Microsoft.Sql/servers/recommendedElasticPools","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/dataMaskingPolicies","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/dataMaskingPolicies/rules","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/securityAlertPolicies","Azure SQL Database","False"
"Microsoft.Sql/servers/securityAlertPolicies","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/auditingSettings","Azure SQL Database","True"
"Microsoft.Sql/servers/auditingSettings","Azure SQL Database","True"
"Microsoft.Sql/servers/extendedAuditingSettings","Azure SQL Database","True"
"Microsoft.Sql/servers/devOpsAuditingSettings","Azure SQL Database","True"
"Microsoft.Sql/locations/auditingSettingsAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/auditingSettingsOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/extendedAuditingSettingsAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/extendedAuditingSettingsOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/devOpsAuditingSettingsOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/devOpsAuditingSettingsAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/elasticPoolAzureAsyncOperation","Azure SQL Database","False"
"Microsoft.Sql/locations/elasticPoolOperationResults","Azure SQL Database","False"
"Microsoft.Sql/servers/elasticpools","Azure SQL Database","False"
"Microsoft.Sql/servers/jobAccounts","Azure SQL Database","True"
"Microsoft.Sql/servers/jobAgents","Azure SQL Database","True"
"Microsoft.Sql/locations/jobAgentOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/jobAgentAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/servers/jobAgents/jobs","Azure SQL Database","True"
"Microsoft.Sql/servers/jobAgents/jobs/steps","Azure SQL Database","True"
"Microsoft.Sql/servers/jobAgents/jobs/executions","Azure SQL Database","True"
"Microsoft.Sql/servers/disasterRecoveryConfiguration","Azure SQL Database","False"
